Date,round,winnerP1,HP1,HP2,Depth P1,DepthP2,AvgTimeBEGP1,AvgIterBEGP1,AvgTimeBEGP2,AvgIterBEGP2,AvgTimeMBMGP1,AvgIterMBMGP1,AvgTimeMBMGP2,AvgIterMBMGP2
23/11/2022,80,True,False,False,2,2,,,,,0.04956576097560979,884.219512195122,0.04521044749999985,798.7
23/11/2022,7,False,False,False,2,2,,,,,0.13083357500000004,2528.5,0.09878505000000048,1947.25
23/11/2022,29,False,False,False,2,2,,,,,0.058115879999999835,1125.9333333333334,0.06051146666666665,1164.8666666666666
23/11/2022,7,False,False,False,2,2,,,,,0.1404762750000006,2662.25,0.1182613499999996,2241.0
23/11/2022,19,False,False,False,2,2,,,,,0.11160002999999996,2084.1,0.10275165000000044,1936.2
23/11/2022,20,True,False,False,2,2,,,,,0.08369364545454516,1555.2727272727273,0.0880968799999998,1637.1
23/11/2022,24,True,False,False,2,2,,,,,0.07976399230769224,1464.076923076923,0.06327321666666623,1175.3333333333333
23/11/2022,23,False,False,False,2,2,,,,,0.0771394833333338,1448.0,0.07540029166666695,1431.3333333333333
23/11/2022,16,True,False,False,2,2,,,,,0.0701112555555557,1336.7777777777778,0.05550167499999992,1042.375
23/11/2022,7,False,False,False,2,2,,,,,0.07765855000000066,1510.25,0.07481959999999965,1465.75
23/11/2022,7,False,False,False,2,2,,,,,0.1671504749999997,1983.75,0.10490367500000097,1176.5
23/11/2022,54,True,False,False,2,2,,,,,0.06763835357142854,914.6071428571429,0.06401258148148185,912.1851851851852
23/11/2022,14,True,False,False,2,2,,,,,0.08984396249999982,1333.125,0.05453884285714393,860.8571428571429
23/11/2022,10,True,False,False,2,2,,,,,0.10950538333333348,1678.8333333333333,0.09737052000000049,1313.4
23/11/2022,17,False,False,False,2,2,,,,,0.05167010000000024,868.7777777777778,0.04681452222222207,804.7777777777778
23/11/2022,35,False,False,False,2,2,,,,,0.05250807222222104,882.2222222222222,0.061906294444444,1094.5555555555557
23/11/2022,17,False,False,False,2,2,,,,,0.10891908888888698,1987.888888888889,0.10892519999999924,1977.7777777777778
23/11/2022,29,False,False,False,2,2,,,,,0.06086550666666615,1125.9333333333334,0.06652116666666832,1164.8666666666666
23/11/2022,7,False,False,False,2,2,,,,,0.13217675000000106,2471.5,0.10288912499999725,1705.5
23/11/2022,54,True,False,False,2,2,,,,,0.05220948214285848,914.6071428571429,0.051650977777777975,912.1851851851852
23/11/2022,50,True,False,False,2,2,,,,,0.08299584999999911,1510.423076923077,0.0762891959999996,1382.88
23/11/2022,21,False,False,False,2,2,,,,,0.059537045454546765,1032.1818181818182,0.06504379090909267,1141.090909090909
23/11/2022,7,False,False,False,2,2,,,,,0.09514092499999904,1662.75,0.07724492500000046,1470.5
23/11/2022,7,False,False,False,2,2,,,,,0.0930181250000004,1422.0,0.056801500000000615,1032.5
23/11/2022,23,False,False,False,2,2,,,,,0.09611330833333298,1755.9166666666667,0.0949943166666678,1769.8333333333333
23/11/2022,21,False,False,False,2,2,,,,,0.08013286363636431,1477.909090909091,0.1014482181818172,1782.3636363636363
23/11/2022,7,False,False,False,2,2,,,,,0.10626667499999876,1938.5,0.08238872500000127,1489.0
23/11/2022,10,True,False,False,2,2,,,,,0.11511923333333485,2210.8333333333335,0.11089812000000024,1896.2
23/11/2022,8,True,False,False,2,2,,,,,0.14615813999999858,2715.8,0.09158989999999889,1615.25
23/11/2022,7,False,False,False,2,2,,,,,0.1449562750000002,2643.0,0.10570235000000139,1970.5
23/11/2022,11,False,False,False,2,2,,,,,0.06548273333333536,1126.0,0.06918993333333272,1245.0
23/11/2022,18,True,False,False,2,2,,,,,0.08431333999999993,1438.4,0.09207095555555453,1661.2222222222222
23/11/2022,18,True,False,False,2,2,,,,,0.051592100000000585,884.3,0.04758949999999926,868.7777777777778
23/11/2022,35,False,False,False,2,2,,,,,0.08414098888888806,1563.6666666666667,0.11429841666666679,2155.3888888888887
23/11/2022,34,True,False,False,2,2,,,,,0.07413566111111042,1348.888888888889,0.09426894117647112,1702.4705882352941
23/11/2022,22,True,False,False,2,2,,,,,0.05884543333332933,1003.75,0.04867792727272822,878.5454545454545
23/11/2022,19,False,False,False,2,2,,,,,0.08089418000000137,1517.2,0.08330889999999869,1522.4
23/11/2022,44,True,False,False,2,2,,,,,0.06802355217391333,1199.304347826087,0.051914018181820024,953.0909090909091
23/11/2022,27,False,False,False,2,2,,,,,0.06602858571428527,1210.142857142857,0.06601188571428704,1179.357142857143
23/11/2022,28,True,False,False,2,2,,,,,0.11630013999999941,2194.4,0.09872071428571262,1843.857142857143
23/11/2022,8,True,False,False,2,2,,,,,0.15262278000000434,2879.6,0.12047525000000192,2192.0
23/11/2022,8,True,False,False,2,2,,,,,0.16444378000000198,2997.2,0.10987319999999912,2006.25
23/11/2022,7,False,False,False,2,2,,,,,0.19271284999999594,3539.75,0.193486974999999,3700.75
23/11/2022,11,False,False,False,2,2,,,,,0.1466670999999972,2709.5,0.14633269999999973,2744.0
23/11/2022,18,True,False,False,2,2,,,,,0.09500766000000027,1826.1,0.10573202222222416,1981.3333333333333
23/11/2022,17,False,False,False,2,2,,,,,0.06679481111110874,1185.3333333333333,0.06448514444444224,1169.4444444444443
23/11/2022,8,True,False,False,2,2,,,,,0.12950047999999584,2472.6,0.09230262499999853,1524.0
23/11/2022,7,False,False,False,2,2,,,,,0.18607174999999998,2949.0,0.10923085000000299,2056.25
23/11/2022,11,False,False,False,2,2,,,,,0.11935801666666397,2128.3333333333335,0.0945609666666627,1806.0
23/11/2022,40,True,False,False,2,2,,,,,0.05546712857142617,975.3333333333334,0.04468187500000056,802.3
23/11/2022,16,True,False,False,2,2,,,,,0.09677543333333619,1785.2222222222222,0.08896646249999662,1535.0
23/11/2022,8,True,False,False,2,2,,,,,0.10871945999999752,2003.0,0.0954314000000025,1668.5
23/11/2022,30,True,False,False,2,2,,,,,0.1297973562500001,2412.25,0.08899699999999958,1666.0666666666666
23/11/2022,8,True,False,False,2,2,,,,,0.1048252199999979,1827.4,0.0792786999999997,1504.5
23/11/2022,44,True,False,False,2,2,,,,,0.08227162608695539,1514.2173913043478,0.06752461363636218,1221.2727272727273
23/11/2022,8,True,False,False,2,2,,,,,0.11913481999999931,2272.4,0.11824069999999409,2092.75
23/11/2022,33,False,False,False,2,2,,,,,0.09300539411764884,1242.235294117647,0.13601327647058903,1612.1176470588234
23/11/2022,8,True,False,False,2,2,,,,,0.16589348000000256,3083.8,0.11817135000000079,2198.0
23/11/2022,19,False,False,False,2,2,,,,,0.08824745000000007,1645.9,0.0889790099999999,1573.8
23/11/2022,26,True,False,False,2,2,,,,,0.08441366428571533,1535.7857142857142,0.08924057692307485,1630.923076923077
23/11/2022,13,False,False,False,2,2,,,,,0.0934841000000018,1602.5714285714287,0.0833769857142873,1520.7142857142858
23/11/2022,22,True,False,False,2,2,,,,,0.0883027666666661,1596.5833333333333,0.06350271818181662,1182.8181818181818
23/11/2022,19,False,False,False,2,2,,,,,0.07300731000000127,1371.6,0.058545410000000686,1093.9
23/11/2022,7,False,False,False,2,2,,,,,0.1336509000000028,2566.75,0.10594350000000219,1895.25
23/11/2022,22,True,False,False,2,2,,,,,0.13287380833333154,2535.3333333333335,0.11589490909091182,2173.6363636363635
23/11/2022,8,True,False,False,2,2,,,,,0.16537756000000742,3051.8,0.16913029999999551,3142.0
23/11/2022,52,True,False,False,2,2,,,,,0.05422821851851828,938.4444444444445,0.037606484615380964,669.6153846153846
23/11/2022,23,False,False,False,2,2,,,,,0.07967880000000349,1503.0833333333333,0.08063178333333099,1499.8333333333333
23/11/2022,12,True,False,False,2,2,,,,,0.1314614428571466,2430.0,0.1255523500000019,2252.6666666666665
23/11/2022,23,False,False,False,2,2,,,,,0.09572635833333247,1764.3333333333333,0.07998325833333315,1485.5833333333333
23/11/2022,8,True,False,False,2,2,,,,,0.11745283999999856,2065.2,0.11362822499999226,1838.25
23/11/2022,65,False,False,False,2,2,,,,,0.08800671212121401,1250.060606060606,0.09850862424242433,1339.909090909091
23/11/2022,10,True,False,False,2,2,,,,,0.11435550000000205,2268.1666666666665,0.13389101999999867,2509.0
23/11/2022,42,True,False,False,2,2,,,,,0.05178671363636314,917.8181818181819,0.04974550952381188,884.3333333333334
23/11/2022,19,False,False,False,2,2,,,,,0.07342840999999964,1371.6,0.06250553000000139,1093.9
23/11/2022,7,False,False,False,2,2,,,,,0.1709015249999979,2996.5,0.1484773749999988,2493.75
23/11/2022,13,False,False,False,2,2,,,,,0.09825089999999445,1815.7142857142858,0.09678231428571037,1703.142857142857
23/11/2022,10,True,False,False,2,2,,,,,0.11025644999999902,1978.8333333333333,0.09306719999999587,1601.6
23/11/2022,12,True,False,False,2,2,,,,,0.0913810000000004,1655.142857142857,0.06633076666665734,1198.3333333333333
23/11/2022,25,False,False,False,2,2,,,,,0.08952950000000416,1590.6153846153845,0.08489273846153914,1447.7692307692307
23/11/2022,14,True,False,False,2,2,,,,,0.07431778750000007,1333.125,0.044872585714285505,860.8571428571429
23/11/2022,28,True,False,False,2,2,,,,,0.11508276666667143,2106.4666666666667,0.09697132142857308,1801.0
23/11/2022,51,False,False,False,2,2,,,,,0.06966195769230847,1197.8461538461538,0.06752986153845943,1178.3461538461538
23/11/2022,8,True,True,False,2,2,,,,,,,0.09601644999999914,1501.0
23/11/2022,8,True,True,False,2,2,,,,,,,0.100477025,1887.5
23/11/2022,12,True,True,False,2,2,,,,,,,0.08677858333333195,1473.0
23/11/2022,24,True,True,False,2,2,,,,,,,0.08191849166666405,1363.5
23/11/2022,14,True,True,False,2,2,,,,,,,0.12769654285713727,2271.285714285714
23/11/2022,31,False,True,False,2,4,,,,,,,3.0659756374999976,59902.375
23/11/2022,5,False,False,True,1,2,,,,,0.02210639999975683,443.6666666666667,,
23/11/2022,5,False,False,True,1,2,,,,,0.022423299999597173,443.6666666666667,,
23/11/2022,4,True,False,True,2,2,,,,,0.14945313333373633,2259.3333333333335,,
