Index Game, Round, Player, Move
3,34,2,"[[2, 2], [3, 3]]"
4,1,1,"[[-1, -1], [2, 4]]"
4,1,2,"[[-1, -1], [3, 4]]"
4,2,1,"[[-1, -1], [1, 4]]"
4,2,2,"[[-1, -1], [2, 3]]"
4,3,1,"[[-1, -1], [0, 4]]"
4,3,2,"[[-1, -1], [1, 2]]"
4,4,1,"[[-1, -1], [0, 1]]"
4,4,2,"[[-1, -1], [1, 3]]"
4,5,1,"[[0, 1], [0, 2]]"
4,6,2,"[[3, 4], [3, 3]]"
4,7,1,"[[0, 2], [0, 1]]"
4,8,2,"[[1, 2], [0, 3]]"
5,1,1,"[[-1, -1], [2, 2]]"
5,1,2,"[[-1, -1], [2, 0]]"
5,2,1,"[[-1, -1], [0, 2]]"
5,2,2,"[[-1, -1], [1, 2]]"
5,3,1,"[[-1, -1], [3, 2]]"
5,3,2,"[[-1, -1], [1, 0]]"
5,4,1,"[[-1, -1], [3, 1]]"
5,4,2,"[[-1, -1], [1, 3]]"
5,5,1,"[[0, 2], [1, 1]]"
5,6,2,"[[1, 0], [2, 1]]"
5,7,1,"[[3, 1], [4, 2]]"
5,8,2,"[[1, 3], [0, 3]]"
5,9,1,"[[1, 1], [0, 0]]"
5,10,2,"[[2, 0], [3, 0]]"
6,1,1,"[[-1, -1], [1, 4]]"
6,1,2,"[[-1, -1], [3, 2]]"
6,2,1,"[[-1, -1], [0, 4]]"
6,2,2,"[[-1, -1], [2, 2]]"
6,3,1,"[[-1, -1], [1, 3]]"
6,3,2,"[[-1, -1], [0, 3]]"
6,4,1,"[[-1, -1], [3, 4]]"
6,4,2,"[[-1, -1], [2, 4]]"
6,5,1,"[[3, 4], [2, 3]]"
6,6,2,"[[2, 2], [1, 2]]"
6,7,1,"[[2, 3], [3, 3]]"
6,8,2,"[[1, 2], [2, 3]]"
6,9,1,"[[3, 3], [2, 2]]"
6,10,2,"[[2, 4], [3, 3]]"
6,11,1,"[[1, 3], [0, 2]]"
6,12,2,"[[0, 3], [1, 3]]"
6,13,1,"[[0, 2], [0, 1]]"
6,14,2,"[[3, 2], [4, 3]]"
7,1,1,"[[-1, -1], [1, 4]]"
7,1,2,"[[-1, -1], [1, 1]]"
7,2,1,"[[-1, -1], [0, 4]]"
7,2,2,"[[-1, -1], [2, 4]]"
7,3,1,"[[-1, -1], [1, 3]]"
7,3,2,"[[-1, -1], [0, 3]]"
7,4,1,"[[-1, -1], [0, 1]]"
7,4,2,"[[-1, -1], [0, 2]]"
7,5,1,"[[0, 1], [0, 0]]"
7,6,2,"[[1, 1], [1, 2]]"
7,7,1,"[[0, 0], [1, 0]]"
7,8,2,"[[2, 4], [2, 3]]"
7,9,1,"[[1, 0], [0, 1]]"
7,10,2,"[[0, 2], [1, 1]]"
7,11,1,"[[0, 1], [0, 0]]"
7,12,2,"[[1, 2], [0, 1]]"
7,13,1,"[[0, 0], [1, 0]]"
7,14,2,"[[0, 3], [0, 2]]"
7,15,1,"[[1, 3], [1, 2]]"
7,16,2,"[[0, 2], [1, 3]]"
7,17,1,"[[0, 4], [0, 3]]"
7,18,2,"[[0, 1], [0, 2]]"
7,19,1,"[[1, 0], [0, 0]]"
7,20,2,"[[1, 1], [0, 1]]"
7,21,1,"[[0, 0], [1, 1]]"
7,22,2,"[[0, 1], [1, 0]]"
7,23,1,"[[0, 3], [0, 4]]"
7,24,2,"[[1, 0], [2, 1]]"
7,25,1,"[[1, 1], [0, 0]]"
7,26,2,"[[0, 2], [0, 3]]"
7,27,1,"[[0, 0], [0, 1]]"
7,28,2,"[[2, 1], [2, 2]]"
7,29,1,"[[0, 1], [0, 0]]"
7,30,2,"[[2, 2], [3, 3]]"
8,1,1,"[[-1, -1], [4, 4]]"
8,1,2,"[[-1, -1], [4, 1]]"
8,2,1,"[[-1, -1], [2, 4]]"
8,2,2,"[[-1, -1], [3, 4]]"
8,3,1,"[[-1, -1], [0, 4]]"
8,3,2,"[[-1, -1], [3, 1]]"
8,4,1,"[[-1, -1], [0, 3]]"
8,4,2,"[[-1, -1], [3, 3]]"
8,5,1,"[[0, 3], [0, 2]]"
8,6,2,"[[4, 1], [3, 2]]"
9,1,1,"[[-1, -1], [1, 4]]"
9,1,2,"[[-1, -1], [2, 2]]"
9,2,1,"[[-1, -1], [0, 4]]"
9,2,2,"[[-1, -1], [2, 3]]"
9,3,1,"[[-1, -1], [2, 4]]"
9,3,2,"[[-1, -1], [3, 4]]"
9,4,1,"[[-1, -1], [0, 3]]"
9,4,2,"[[-1, -1], [1, 3]]"
9,5,1,"[[0, 3], [0, 2]]"
9,6,2,"[[2, 2], [3, 3]]"
9,7,1,"[[0, 2], [0, 1]]"
9,8,2,"[[3, 4], [4, 3]]"
10,1,1,"[[-1, -1], [0, 0]]"
10,1,2,"[[-1, -1], [0, 3]]"
10,2,1,"[[-1, -1], [1, 0]]"
10,2,2,"[[-1, -1], [2, 0]]"
10,3,1,"[[-1, -1], [3, 0]]"
10,3,2,"[[-1, -1], [0, 1]]"
10,4,1,"[[-1, -1], [3, 1]]"
10,4,2,"[[-1, -1], [0, 2]]"
10,5,1,"[[0, 0], [1, 1]]"
10,6,2,"[[0, 1], [0, 0]]"
10,7,1,"[[1, 0], [2, 1]]"
10,8,2,"[[0, 0], [0, 1]]"
10,9,1,"[[3, 0], [4, 1]]"
11,1,1,"[[-1, -1], [4, 4]]"
11,1,2,"[[-1, -1], [3, 0]]"
11,2,1,"[[-1, -1], [2, 4]]"
11,2,2,"[[-1, -1], [3, 4]]"
11,3,1,"[[-1, -1], [0, 4]]"
11,3,2,"[[-1, -1], [3, 1]]"
11,4,1,"[[-1, -1], [0, 3]]"
11,4,2,"[[-1, -1], [2, 1]]"
11,5,1,"[[0, 3], [1, 3]]"
11,6,2,"[[3, 4], [3, 3]]"
11,7,1,"[[0, 4], [0, 3]]"
11,8,2,"[[2, 1], [3, 2]]"
12,1,1,"[[-1, -1], [2, 4]]"
12,1,2,"[[-1, -1], [2, 3]]"
12,2,1,"[[-1, -1], [0, 4]]"
12,2,2,"[[-1, -1], [1, 4]]"
12,3,1,"[[-1, -1], [3, 4]]"
12,3,2,"[[-1, -1], [3, 2]]"
12,4,1,"[[-1, -1], [4, 1]]"
12,4,2,"[[-1, -1], [1, 3]]"
12,5,1,"[[4, 1], [4, 2]]"
12,6,2,"[[3, 2], [3, 3]]"
12,7,1,"[[0, 4], [0, 3]]"
12,8,2,"[[2, 3], [1, 2]]"
12,9,1,"[[2, 4], [2, 3]]"
12,10,2,"[[3, 3], [2, 2]]"
12,11,1,"[[0, 3], [0, 2]]"
12,12,2,"[[2, 2], [1, 1]]"
13,1,1,"[[-1, -1], [0, 2]]"
13,1,2,"[[-1, -1], [0, 1]]"
13,2,1,"[[-1, -1], [0, 3]]"
13,2,2,"[[-1, -1], [1, 2]]"
13,3,1,"[[-1, -1], [0, 0]]"
13,3,2,"[[-1, -1], [2, 3]]"
13,4,1,"[[-1, -1], [3, 4]]"
13,4,2,"[[-1, -1], [1, 1]]"
13,5,1,"[[3, 4], [2, 4]]"
13,6,2,"[[2, 3], [1, 3]]"
13,7,1,"[[0, 0], [1, 0]]"
13,8,2,"[[1, 2], [2, 1]]"
13,9,1,"[[0, 2], [1, 2]]"
13,10,2,"[[1, 3], [2, 2]]"
13,11,1,"[[0, 3], [0, 2]]"
13,12,2,"[[2, 2], [3, 1]]"
14,1,1,"[[-1, -1], [3, 2]]"
14,1,2,"[[-1, -1], [0, 1]]"
14,2,1,"[[-1, -1], [1, 2]]"
14,2,2,"[[-1, -1], [2, 2]]"
14,3,1,"[[-1, -1], [0, 2]]"
14,3,2,"[[-1, -1], [1, 1]]"
14,4,1,"[[-1, -1], [3, 1]]"
14,4,2,"[[-1, -1], [3, 3]]"
14,5,1,"[[0, 2], [0, 3]]"
14,6,2,"[[0, 1], [0, 0]]"
15,1,1,"[[-1, -1], [2, 4]]"
15,1,2,"[[-1, -1], [1, 4]]"
15,2,1,"[[-1, -1], [2, 2]]"
15,2,2,"[[-1, -1], [2, 3]]"
15,3,1,"[[-1, -1], [2, 1]]"
15,3,2,"[[-1, -1], [0, 3]]"
15,4,1,"[[-1, -1], [1, 0]]"
15,4,2,"[[-1, -1], [0, 4]]"
15,5,1,"[[2, 4], [1, 3]]"
15,6,2,"[[0, 3], [1, 2]]"
15,7,1,"[[1, 0], [1, 1]]"
15,8,2,"[[1, 4], [2, 4]]"
15,9,1,"[[1, 1], [0, 0]]"
15,10,2,"[[0, 4], [0, 3]]"
15,11,1,"[[0, 0], [0, 1]]"
15,12,2,"[[0, 3], [0, 2]]"
15,13,1,"[[2, 2], [1, 1]]"
15,14,2,"[[2, 3], [2, 2]]"
15,15,1,"[[0, 1], [0, 0]]"
15,16,2,"[[2, 4], [3, 3]]"
15,17,1,"[[2, 1], [3, 2]]"
15,18,2,"[[3, 3], [4, 3]]"
15,19,1,"[[0, 0], [1, 0]]"
15,20,2,"[[1, 2], [2, 3]]"
15,21,1,"[[1, 3], [1, 2]]"
15,22,2,"[[0, 2], [1, 3]]"
15,23,1,"[[3, 2], [3, 3]]"
15,24,2,"[[1, 3], [0, 3]]"
15,25,1,"[[1, 0], [2, 1]]"
15,26,2,"[[4, 3], [3, 2]]"
15,27,1,"[[3, 3], [4, 2]]"
15,28,2,"[[3, 2], [3, 3]]"
15,29,1,"[[1, 2], [1, 3]]"
15,30,2,"[[0, 3], [1, 2]]"
15,31,1,"[[1, 3], [0, 2]]"
15,32,2,"[[2, 2], [1, 3]]"
15,33,1,"[[0, 2], [0, 1]]"
15,34,2,"[[1, 2], [0, 3]]"
16,1,1,"[[-1, -1], [0, 4]]"
16,1,2,"[[-1, -1], [3, 0]]"
16,2,1,"[[-1, -1], [0, 2]]"
16,2,2,"[[-1, -1], [0, 1]]"
16,3,1,"[[-1, -1], [0, 0]]"
16,3,2,"[[-1, -1], [1, 0]]"
16,4,1,"[[-1, -1], [1, 2]]"
16,4,2,"[[-1, -1], [1, 1]]"
16,5,1,"[[0, 2], [0, 3]]"
16,6,2,"[[1, 0], [2, 1]]"
16,7,1,"[[0, 0], [1, 0]]"
16,8,2,"[[3, 0], [3, 1]]"
17,1,1,"[[-1, -1], [2, 2]]"
17,1,2,"[[-1, -1], [2, 1]]"
17,2,1,"[[-1, -1], [0, 2]]"
17,2,2,"[[-1, -1], [1, 2]]"
17,3,1,"[[-1, -1], [0, 3]]"
17,3,2,"[[-1, -1], [1, 3]]"
